"Fullscale_V9_DataCollectSweep1_041026: Design Number","Fullscale_V9_DataCollectSweep1_041026: BaseSize (m)","Fullscale_V9_DataCollectSweep1_041026: BEAVSExtension (mm)","Fullscale_V9_DataCollectSweep1_041026: BEAVSPosition (m)","Fullscale_V9_DataCollectSweep1_041026: FreestreamAltitude (ft)","Fullscale_V9_DataCollectSweep1_041026: FreestreamMach","Fullscale_V9_DataCollectSweep1_041026: FreestreamTemperature (C)","Fullscale_V9_DataCollectSweep1_041026: NumSteps","Fullscale_V9_DataCollectSweep1_041026: Cell Count","Fullscale_V9_DataCollectSweep1_041026: Center of Loads (m)","Fullscale_V9_DataCollectSweep1_041026: Drag BEAVS (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Camera Pod (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Center Body (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Coefficient","Fullscale_V9_DataCollectSweep1_041026: Drag Fins (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Nose (N)","Fullscale_V9_DataCollectSweep1_041026: Drag of all external components (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Tail & Base (N)","Fullscale_V9_DataCollectSweep1_041026: Total Solver CPU Time (s)","Fullscale_V9_DataCollectSweep1_041026: Total Solver Elapsed Time (s)"
212.0,0.03,5.0,1.23,3600.0,0.23,7.0,470.0,2402688.0,-0.4671932395834894,0.7999100312374597,0.7262575447231691,4.716108468351459,0.9526280509897538,3.3605987828409845,-129.06316365443166,16.901258517942328,136.3615473452209,20139.124970000015,2553.6492625829997
213.0,0.03,5.0,1.23,3600.0,0.24,7.0,470.0,2402688.0,-0.4676287831225532,0.8729887574247138,0.789279923637725,5.055092442913853,0.9483888876848398,3.613936959027117,-128.968473515417,18.320989947159276,136.95816537957288,20096.736753999998,2542.6631284260025
214.0,0.03,5.0,1.23,3600.0,0.25,7.0,470.0,2402705.0,-0.4679712540034075,0.9530524663246117,0.8526404867168531,5.450415122446089,0.9477029437505187,3.903859884998643,-128.8704520590789,19.865168766100357,137.575652864693,20110.458404999994,2540.2507358990015
215.0,0.03,5.0,1.23,3600.0,0.26,7.0,470.0,2402705.0,-0.4683701110010754,1.0357648112008548,0.920882468952806,5.821145771558622,0.9420738048295585,4.188143756614947,-128.76714966018542,21.358543606606474,138.15975645846467,20876.937668999974,2663.2350887420007
216.0,0.03,5.0,1.23,3600.0,0.27,7.0,470.0,2402705.0,-0.46881914287814586,1.1258737341333116,0.9875545422932003,6.253585823290919,0.9445423165688795,4.485246491941685,-128.66036929473532,23.093456834286492,138.90156553736273,19936.095103000018,2516.664688525998
217.0,0.03,5.0,1.23,3600.0,0.28,7.0,470.0,2402705.0,-0.469267514648192,1.215175351341302,1.0597221378370905,6.655956453217407,0.9408800308878149,4.790959911843405,-128.54813533258204,24.739466023649925,139.56578750199273,20121.717078999987,2546.513882012996
218.0,0.03,5.0,1.23,3600.0,0.29,7.0,470.0,2402705.0,-0.4697178456131976,1.3079856293718692,1.1360487468406144,7.067830938274091,0.9369596886361211,5.103380633883223,-128.43084813162955,26.42755020215668,140.2431523854164,31079.753714000024,4214.8711531940025
219.0,0.03,5.0,1.23,3600.0,0.3,7.0,470.0,2402769.0,-0.47012866422572686,1.42453804928806,1.2012157890331772,7.6577522585357425,0.9476640315437665,5.4611483053386785,-128.3120974993356,28.60466710792177,141.17211020506176,20109.807668999983,2537.6130067360023
220.0,0.03,5.0,1.23,3600.0,0.31,7.0,470.0,2402769.0,-0.47069954943528547,1.5009471604541578,1.2949120800423892,7.892744150742985,0.9245197574284076,5.747730971062751,-128.18078644945788,29.797482964485404,141.541935051641,20447.419431000006,2581.3940640460014
221.0,0.03,5.0,1.23,3600.0,0.32,7.0,470.0,2402881.0,-0.4710606976794786,1.6193836231027723,1.3698458288383855,8.455434724002993,0.930808745325854,6.128748412169317,-128.0500980230908,31.966891175959123,142.4435766109365,20404.588328,2587.227289237999
222.0,0.03,5.0,1.23,3600.0,0.33,7.0,470.0,2402833.0,-0.4716818383201182,1.717435445661179,1.4598482292763981,8.829619623162761,0.9211836662475228,6.446982160433465,-127.90947823968636,33.6445023951568,143.10009517630934,30169.22018400001,4079.4533180259896
223.0,0.03,5.0,1.23,3600.0,0.34,7.0,470.0,2402865.0,-0.47226835711443593,1.845861576960906,1.5378741095962758,9.433123032887309,0.9276546019367675,6.8205080823876925,-127.76679945392833,35.965335661644275,144.09476831374042,20364.322300999997,2569.808970979001
224.0,0.03,5.0,1.23,3600.0,0.35,7.0,470.0,2402985.0,-0.4726581734332872,1.9759023002627778,1.6195121681336417,10.010206760546941,0.9296947361664882,7.223891305777458,-127.61678007801419,38.19587256002896,144.9831401033223,20346.728267999995,2568.644037424999
225.0,0.03,5.0,1.23,3600.0,0.36,7.0,470.0,2402969.0,-0.47331095263787953,2.097295088848161,1.7121832406724788,10.503359487099866,0.9274929657290787,7.58678654642619,-127.45810600543732,40.31397369351696,145.87245533590755,20681.34193899999,2622.836723446004
226.0,0.03,5.0,1.23,3600.0,0.37,7.0,470.0,2402993.0,-0.4739590002121391,2.2348124379817533,1.8018753356958879,11.088110337562716,0.9291795704594927,7.9756884884542485,-127.29423386246333,42.662185565857946,146.8559328286267,20424.13654700001,2576.497166798996
