"SupSonicSweep2_BEAVS_012726: Design Number","SupSonicSweep2_BEAVS_012726: BEAVSExtension (mm)","SupSonicSweep2_BEAVS_012726: BEAVSPosition (m)","SupSonicSweep2_BEAVS_012726: FreestreamAltitude (ft)","SupSonicSweep2_BEAVS_012726: FreestreamMach","SupSonicSweep2_BEAVS_012726: FreestreamTemperature (C)","SupSonicSweep2_BEAVS_012726: NumSteps","SupSonicSweep2_BEAVS_012726: Cell Count","SupSonicSweep2_BEAVS_012726: Center of Loads (m)","SupSonicSweep2_BEAVS_012726: Drag BEAVS (N)","SupSonicSweep2_BEAVS_012726: Drag Center Body (N)","SupSonicSweep2_BEAVS_012726: Drag Coefficient","SupSonicSweep2_BEAVS_012726: Drag Fins (N)","SupSonicSweep2_BEAVS_012726: Drag Nose (N)","SupSonicSweep2_BEAVS_012726: Drag of all external components (N)","SupSonicSweep2_BEAVS_012726: Drag Tail & Base (N)","SupSonicSweep2_BEAVS_012726: Total Solver CPU Time (s)","SupSonicSweep2_BEAVS_012726: Total Solver Elapsed Time (s)"
68.0,15.0,1.4,3600.0,0.77,7.0,470.0,1265004.0,-0.7566163355724125,22.083607626970252,24.363150444783496,0.9175092187615216,19.542204066880274,-70.69973451804451,182.44496374080643,187.1557361202169,15531.964369999996,1958.927052262
69.0,15.0,1.4,3600.0,0.78,7.0,470.0,1267407.0,-0.7590474582209767,22.180972466320135,24.722310633806355,0.9310592818091796,19.99943152013318,-65.24037721920557,189.9794101356522,188.31707273459807,15684.105628999969,1983.4217078570016
70.0,15.0,1.4,3600.0,0.79,7.0,470.0,1268854.0,-0.7615447675831746,23.05365143787443,24.851121206779684,0.9469824705073688,20.482987325821018,-59.76509809687135,198.21482041409493,189.59215854049117,15183.872911000008,1912.0828616539989
71.0,15.0,1.4,3600.0,0.8,7.0,470.0,1271804.0,-0.7640808942666208,23.68452217041161,25.187347762829617,0.9631804599325813,20.950622049059653,-53.94810735572184,206.74149181622565,190.86710718964656,17102.143031,2230.6030561379994
72.0,15.0,1.4,3600.0,0.8099999999999999,7.0,470.0,1273478.0,-0.7667036606780097,24.280724259352862,25.661302847850923,0.9803444542765627,21.482882987987544,-47.932190911368295,215.7191606616293,192.22644147780622,17808.823846000014,2339.243278531
73.0,15.0,1.4,3600.0,0.82,7.0,470.0,1277027.0,-0.7694874658522852,25.693409976320872,25.882812556545076,1.0002687216891746,21.98071408447629,-41.478625347328894,225.5715860212985,193.4932747512851,14706.845262000006,1865.361046015
74.0,15.0,1.4,3600.0,0.83,7.0,470.0,1280073.0,-0.7724243166996694,25.673450133518568,26.14862981337933,1.0139169786152984,22.502299418202952,-34.82353020205677,234.26022987159993,194.75938070855585,15115.461897000005,1915.403014592
75.0,15.0,1.4,3600.0,0.84,7.0,470.0,1283978.0,-0.7754809879944783,25.82900512520756,26.466935048454584,1.0299819880079581,23.081649469429586,-27.795065929621227,243.74078346892833,196.15825975545783,18086.26476,2363.5009966050015
76.0,15.0,1.4,3600.0,0.85,7.0,470.0,1294323.0,-0.7786101221334798,26.179015586120375,26.679777652572696,1.047276365625963,23.725451741883305,-20.48057990819451,253.76933687825849,197.6656718058766,17700.836808999997,2316.349986767997
77.0,15.0,1.4,3600.0,0.86,7.0,470.0,1300964.0,-0.7819743349672275,25.950345213742622,26.875616546471626,1.0629661531240315,24.486682132920258,-12.795317046764177,263.66733020361585,199.15000335724557,14683.980327000017,1852.6062892149994
