"SupSonicSweep2_012726: Design Number","SupSonicSweep2_012726: BEAVSExtension (mm)","SupSonicSweep2_012726: BEAVSPosition (m)","SupSonicSweep2_012726: FreestreamAltitude (ft)","SupSonicSweep2_012726: FreestreamMach","SupSonicSweep2_012726: FreestreamTemperature (C)","SupSonicSweep2_012726: NumSteps","SupSonicSweep2_012726: Cell Count","SupSonicSweep2_012726: Center of Loads (m)","SupSonicSweep2_012726: Drag BEAVS (N)","SupSonicSweep2_012726: Drag Center Body (N)","SupSonicSweep2_012726: Drag Coefficient","SupSonicSweep2_012726: Drag Fins (N)","SupSonicSweep2_012726: Drag Nose (N)","SupSonicSweep2_012726: Drag of all external components (N)","SupSonicSweep2_012726: Drag Tail & Base (N)","SupSonicSweep2_012726: Total Solver CPU Time (s)","SupSonicSweep2_012726: Total Solver Elapsed Time (s)"
72.0,0.0,1.4,3600.0,0.8099999999999999,7.0,470.0,1266811.0,-0.7678750663006632,0.06549387069071287,26.70456765018149,0.8783982460602238,21.474582149997666,-47.896730518760066,193.28648368454273,192.93857053243295,17974.089140000022,2358.276617766001
73.0,0.0,1.4,3600.0,0.82,7.0,470.0,1269588.0,-0.7706238471711694,0.06622514198765259,27.081722814441058,0.8952010672360833,21.983004415764086,-41.49468070286499,201.87767563439922,194.24140396507144,14325.771947000014,1805.0438701390005
74.0,0.0,1.4,3600.0,0.83,7.0,470.0,1274904.0,-0.7736480671511166,0.06656828539883536,27.534786948514295,0.9129183684555022,22.515104099131978,-34.736150192094584,210.92502774779462,195.54471860684407,14137.855600000006,1782.1028390270017
75.0,0.0,1.4,3600.0,0.84,7.0,470.0,1281003.0,-0.7766402204133857,0.06775622266126738,27.719278280697907,0.9293720872140254,23.08016313016203,-27.855829160287154,219.93188551754508,196.92051704431103,16444.573458,2117.3254392879962
76.0,0.0,1.4,3600.0,0.85,7.0,470.0,1287178.0,-0.7797772141674476,0.06846495821871382,27.997912569886413,0.9496873065321155,23.76773297802938,-20.51724023402945,230.12217780385637,198.8053075317513,14012.968540999998,1763.6589831850029
77.0,0.0,1.4,3600.0,0.86,7.0,470.0,1291903.0,-0.7830869705415279,0.0682923540452754,28.51880616629188,0.9738360473195525,24.729008795812664,-12.839532065888399,241.55872686835,201.08215161808857,14715.924803000016,1854.4301740670023
78.0,0.0,1.4,3600.0,0.87,7.0,470.0,1305086.0,-0.7868243228130044,0.0698876288313461,28.519339093812263,0.9888205305894271,25.589222359854322,-4.916879460259171,251.01286722380635,201.75129760156761,18561.99291700001,2448.412882294002
79.0,0.0,1.4,3600.0,0.88,7.0,470.0,1307013.0,-0.7905051935285115,0.0758420883242017,29.544648162670363,1.011874977574673,26.738374399934123,3.2882337768090446,262.80413953091926,203.15704110318154,14105.875890000003,1774.111887678002
80.0,0.0,1.4,3600.0,0.89,7.0,470.0,1302672.0,-0.7966741379181325,0.0753052308197968,36.608721549663414,1.0773753089993074,28.374684993224076,12.002114268598955,286.2114515524621,209.15062551015586,13645.848571000019,1716.7085846390005
81.0,0.0,1.4,3600.0,0.9,7.0,470.0,1308438.0,-0.7999103711272638,0.07817186313934975,40.31699691966694,1.1220392188315,29.634401377310425,21.2225548918871,304.8126989099223,213.5605738579185,15945.559395999986,2052.3635460040014
82.0,0.0,1.4,3600.0,0.91,7.0,470.0,1317019.0,-0.8048633637017005,0.08099302644115695,42.059990729973165,1.1572965720585928,32.255417820045686,30.801477609071462,321.4159543543843,216.2180751688529,16122.991647999997,2125.1297352139995
83.0,0.0,1.4,3600.0,0.92,7.0,470.0,1325159.0,-0.8104983584964643,0.08339239944825748,43.58509552518932,1.1946335590518307,35.900665506866225,40.69991797626082,339.117633074388,218.8485616666234,12713.186516999996,1599.6845744560003
84.0,0.0,1.4,3600.0,0.93,7.0,470.0,1334994.0,-0.816076119898416,0.08541682383969228,44.91095089693777,1.2373089487816105,41.64922728876311,51.01232800195492,358.9087457334613,221.25082272196576,13444.353950999986,1691.4864999760005
85.0,0.0,1.4,3600.0,0.94,7.0,470.0,1347726.0,-0.8223930532731326,0.08711880844585387,46.07583317007821,1.2846582322116866,49.5048017891543,61.762198582605855,380.700359592666,223.27040724238176,14228.615185999975,1815.4706592089995
86.0,0.0,1.4,3600.0,0.95,7.0,470.0,1361673.0,-0.8283065978558866,0.08876631086011266,47.125653667085174,1.3286686364471498,55.75654951909156,72.90104348275388,402.1646569682768,226.29264398848608,18136.871200999987,2377.8065243109986
87.0,0.0,1.4,3600.0,0.96,7.0,470.0,1375225.0,-0.8384067913048259,0.090241238318585,48.11682628807648,1.3677446868513825,58.07381885800625,84.45393151720667,422.7537793152537,232.01896141364574,14204.665108000021,1786.4574865229995
88.0,0.0,1.4,3600.0,0.97,7.0,470.0,1388848.0,-0.8537707909209542,0.0911777163381479,49.09726278264734,1.4102501323685015,58.97234361851095,96.48820477433343,445.02007767428006,240.37108878245022,13496.701200000007,1698.9911158819991
89.0,0.0,1.4,3600.0,0.98,7.0,470.0,1397063.0,-0.8718865143979447,0.09177502211089214,50.061628114961486,1.4577399540795422,59.55502024347576,109.01013941598131,469.53956065391884,250.8209978573894,17571.744922,2271.0819100200006
