"SupSonicSweep3_012826: Design Number","SupSonicSweep3_012826: BEAVSExtension (mm)","SupSonicSweep3_012826: BEAVSPosition (m)","SupSonicSweep3_012826: FreestreamAltitude (ft)","SupSonicSweep3_012826: FreestreamMach","SupSonicSweep3_012826: FreestreamTemperature (C)","SupSonicSweep3_012826: NumSteps","SupSonicSweep3_012826: Cell Count","SupSonicSweep3_012826: Center of Loads (m)","SupSonicSweep3_012826: Drag BEAVS (N)","SupSonicSweep3_012826: Drag Center Body (N)","SupSonicSweep3_012826: Drag Coefficient","SupSonicSweep3_012826: Drag Fins (N)","SupSonicSweep3_012826: Drag Nose (N)","SupSonicSweep3_012826: Drag of all external components (N)","SupSonicSweep3_012826: Drag Tail & Base (N)","SupSonicSweep3_012826: Total Solver CPU Time (s)","SupSonicSweep3_012826: Total Solver Elapsed Time (s)"
87.0,30.0,1.4,3600.0,0.96,7.0,470.0,1427057.0,-0.8335390522196142,122.8540654817342,46.7319856082822,1.7668964627904833,58.8305849717873,84.48612125042668,546.1268937720936,233.22413645986322,14157.650050000024,1782.345573682999
88.0,30.0,1.4,3600.0,0.97,7.0,470.0,1445939.0,-0.846969791058794,130.40032513904526,47.33581208812297,1.8177190130288339,60.43082525913631,96.50838640900058,573.6014043193398,238.92605542403467,17224.038904999998,2236.961953049999
89.0,30.0,1.4,3600.0,0.98,7.0,470.0,1466688.0,-0.863224513730233,135.96587438974274,48.35915284121033,1.8712379128132617,61.30927596991301,109.01421322460867,602.727684730354,248.0791683048793,14525.326114999996,1831.4914682990004
90.0,30.0,1.4,3600.0,0.99,7.0,470.0,1481083.0,-0.8843900140585108,139.52449873887895,49.344481302489704,1.943836578526703,61.87241108959953,121.97790610806796,638.954767882948,266.235470643912,14874.231071000015,1874.074885088996
91.0,30.0,1.4,3600.0,1.0,7.0,470.0,1485561.0,-0.9052060365024399,145.120184248527,50.38363396916028,2.0349896227163775,62.34313692192082,135.1577194899252,682.4993010158367,289.49462638630337,19288.905491999983,2516.747799075998
92.0,30.0,1.4,3600.0,1.01,7.0,470.0,1483685.0,-0.9154279271363821,151.5730274706737,51.58834680985322,2.05113222389316,63.19425695244759,148.97493837783566,701.7402945332894,286.40972492247914,19514.937336999956,2565.7917549059985
93.0,30.0,1.4,3600.0,1.02,7.0,470.0,1477505.0,-0.8630940490659281,154.95096930468458,52.72574933794469,1.952539832070085,62.206574330509916,162.6266507324205,681.3029269898767,248.7929832843171,15205.459572,1913.8218549409996
94.0,30.0,1.4,3600.0,1.03,7.0,470.0,1505083.0,-0.8381428023491259,156.43260731335508,53.46122978617656,2.090057345101055,60.981631484783485,175.92834082304924,743.6569842923841,296.8531748850198,15172.124784000018,1915.9463020749997
95.0,30.0,1.4,3600.0,1.04,7.0,470.0,1515366.0,-0.8530974825327842,159.71797026800462,54.25835840282958,2.14953965257116,61.4177763577883,189.23278406714286,779.7441969953027,315.1173078995374,18229.92628200001,2358.6048057109997
96.0,30.0,1.4,3600.0,1.05,7.0,470.0,1526715.0,-0.8627741068341311,162.67609040419518,55.11400378827872,2.1527501862423426,61.72156698557876,202.47900804230488,795.9984334124837,314.0077641921262,18125.817662999958,2357.616546380999
97.0,30.0,1.4,3600.0,1.06,7.0,470.0,1527846.0,-0.8646650783337134,164.79691703115623,55.93550422632396,2.147131926751562,61.81105861280041,216.26746568534227,809.1153586240789,310.304413068456,15831.579326000012,2001.5478312920009
98.0,30.0,1.4,3600.0,1.07,7.0,470.0,1530285.0,-0.86337337826946,167.37597786713374,56.79141473385272,2.15528642220752,61.62633641825826,230.6829535424846,827.5848650801524,311.10818251842306,16070.392200999993,2031.5100872089995
99.0,30.0,1.4,3600.0,1.08,7.0,470.0,1535641.0,-0.8616495970304382,169.03674850968926,57.54304807416088,2.1629578049557128,61.51379041601312,244.73491682738685,846.1270069436473,313.2985031163972,26066.366387999984,3688.258837471004
100.0,30.0,1.4,3600.0,1.09,7.0,470.0,1533713.0,-0.8595041504502643,170.95801446021576,58.34505852368375,2.170508292522481,61.4310712453092,258.3950804722436,864.8772091171245,315.74798441567214,15297.244065999992,1926.157735526002
101.0,30.0,1.4,3600.0,1.1,7.0,470.0,1536010.0,-0.8578245756482237,172.9945121265074,59.10897954415403,2.1789762414760836,61.36844291919219,272.04894548083394,884.2556629998578,318.7347829291702,16218.881995000007,2066.0646877039985
102.0,30.0,1.4,3600.0,1.11,7.0,470.0,1541385.0,-0.8558341695618458,175.39727506008506,59.88692554610012,2.1878959429641665,61.380449549296635,286.00695702980823,904.0919789995173,321.4203718142273,15496.911995000004,1952.4108390159981
103.0,30.0,1.4,3600.0,1.12,7.0,470.0,1545686.0,-0.8538723663616428,177.3571397128344,60.66272280721184,2.1960856266041704,61.4071308075122,300.1841867186151,923.9007560721043,324.2895760259307,15021.433112999992,1892.5877007769993
104.0,30.0,1.4,3600.0,1.13,7.0,470.0,1545940.0,-0.8524078654109042,178.97601651696385,61.4205839727349,2.2026080948376356,61.252882596502886,314.4873364481611,943.2658411219834,327.12902158762085,14782.244268999997,1862.5699026359996
105.0,30.0,1.4,3600.0,1.14,7.0,470.0,1548122.0,-0.8499598102094508,182.4969119342603,62.19368490055592,2.2138398991167225,61.34645044286279,329.0737178887028,964.9302389315741,329.81947376519224,16050.704149999998,2054.367288153001
106.0,30.0,1.4,3600.0,1.15,7.0,470.0,1551530.0,-0.8473431305180487,186.5258243704386,62.96693147915098,2.2255150154226153,61.56652674099004,343.4474892951849,987.1114690209205,332.604697135156,23325.152882999962,3219.610544030001
